prodName,category,description
꿰어보는 러시아와 중국 - 중·러의 코드를 이해하면 세계가 보인다,문화/문화이론,"국제관계에서 독특한 모습을 보이는 러시아와 중국을 비교문화, 지정학 관점으로 설명한다. 1장은 러시아와 중국의 갈등과 협력을, 2장에서는 두 국가의 음식, 주거, 대중문화를 다룬다. 3장에서는 좀 더 구체적인 의료, 기념일 등 일상을 소개한다. 4장은 교육, 방송, 신분증 등의 국가 체제를 논한다."
고독사는 사회적 타살입니다 - 현직 경찰관의 눈으로 바라본 고독사 현장,사회문제,현직 경찰관인 저자가 수습한 고독사 현장의 참혹함과 저자가 고안한 예방법을 담은 책이다. 더불어 저자와의 인터뷰를 통해 고독사 관련 정책과 현황을 정리했다.
세상에서 가장 재미있는 과학 만화 세트 - 전8권,기초과학/교양과학,"‘세상에서 가장 재미있는 세계사’ 시리즈에서 신랄하면서도 편견에 치우치지 않은 수평적 역사관으로 세계사의 새로운 지평을 선사한 바 있는 래리 고닉이 유전학, 통계학, 물리학, 화학, 지구환경 전문가들과 공동 작업으로 완성한 과학 만화 시리즈다."
고양이 - 여성성의 구원에 관한 이야기,신화/종교학,"많은 심리학적 경험과 깊은 인간 이해의 지견을 지닌 폰 프란츠는 풍성한 이야기의 모든 주제를 살펴 갔으며, 고양이가 마침내 마법에서 풀려날 때까지 주인공이 어떤 어려운 위험에 노출되는지, 그리고 어떤 과제를 충족시켜야 하는지를 밝혀냈다."
"물러나다 - 촘스키, 다극세계의 길목에서 미국의 실패한 전쟁을 돌아보다",정치학/외교학/행정학,"대원로 비판지성 노엄 촘스키, 일극패권 쇠퇴와 ‘신냉전’ 질서 속에서 불량국가 미국의 실패한 전쟁을 돌아보다."
이 마음도 언젠가 잊혀질 거야,일본소설,"베스트셀러 『너의 췌장을 먹고 싶어』 작가, 스미노 요루의 첫 연애 장편소설. ‘연애하다’의 뜻을 다른 말로 어떻게 표현할 수 있을지, 왜 연애를 하면 행복한지, 이런 물음에 대해 작가만의 시선으로 해답을 찾아본 작품이다."
"더 기묘한 수학책 - 미로에서 퍼즐까지, 놀라움이 가득한 수학으로의 여행!",수학,"수학은 어렵다. 오죽하면 '수포자'라는 단어가 있을까. 그러나 일반적으로 지루하고 딱딱하기 그지없는 과목으로 생각하는 수학은 굉장히 이상하고, 기묘하고, 놀라움으로 가득할 수 있다. 『더 기묘한 수학책』이 이를 증명한다"
아는 만큼 보이는 세상 : 물리편 - 사진과 그림으로 단번에 이해하는 81가지 친절한 물리 안내서,기초과학/교양과학,"빛, 물, 공기, 열, 지구, 우주, 생활의 7가지 키워드를 바탕으로, 자연현상과 일상 속 궁금증 81가지를 뽑아 담았다. 여기에는 ‘노을은 왜 붉을까?’ 하는 일상적인 궁금증부터 ‘공기에 무게가 있다니?’처럼 미처 몰랐던 궁금증과 그 해답까지 두루 담겨 있다."
버스커의 방,인문 에세이,어느 10년 차 버스커의 인문학적으로 버스킹 하기. 한 TV 오디션 프로그램을 통해 알려진 뒤 우리에게 낯설지 않은 단어가 된 ‘버스킹’. 《버스커의 방》은 길거리 공연을 하는 저자의 실제의 방과 내면의 방에 관한 이야기다.
우리는 마침내 같은 문장에서 만난다 - 일상에 깃든 시적인 순간,한국에세이,"2010년 신춘문예 당선자인 시인이 두 딸을 낳고 기르며 느꼈던 감정들, 제주에서 나고 자란 이야기, 시를 쓰기 위해 육지로 나온 이후의 삶의 흔적들, ‘자신의 다른 이름’이라고 일컫는 남편과의 일화들, 육아라는 긴 터널 속에서 위로받았던 영화, 음악에 대한 소회와 감상, 무엇보다 사랑하는 시를 잃지 않기 위해 적어온 많은 메모들을 엮어 책으로 담아냈다."
"반란의 멕시코 - 존 리드, 멕시코혁명을 기록하다",사회운동,《반란의 멕시코》가 담고 있는 멕시코혁명은 당시에는 그 세계사적인 의미가 제대로 파악되지 못한 사건이었다. 1917년의 러시아혁명이 갖는 세계적 영향력이 강력한 나머지 그보다 앞선 1910년의 멕시코혁명의 중요성이 가려졌다.
"오십에 시작하는 마음 공부 - 자유롭고 빛나게, 두려움 없는 인생 2막을 사는 법",성공,"오십 이후를 잘 살기 위한 비결로 ‘마음의 힘’을 말하며, 그 힌트를 조선 후기 실학자인 연암 박지원에게서 찾는다. 저자 김종원은 특유의 밀도 높은 인문학적 시각으로 평생 새로운 지식과 경험을 쌓으며 나이를 장애물이 아닌 도약대로 삼았던 연암의 삶의 태도에 주목했다."
알아두면 쓸모있는 벌거벗은 한국사,한국사 일반,‘과거를 잊는 자는 그것을 반복한다’는 철학자 조지 산타야나의 경고가 비수처럼 파고드는 시절이다. 《알아두면 쓸모 있는 한국사》는 이런 시대적 상황에서 우리 역사를 다시금 되새김질해보자는 의미로 읽힌다.
연결된 고통 - 현대 의학의 그릇에 담기지 않는 고유하고 다양한 아픈 몸들의 인류학,인류학/고고학,“누군가는 경계에 서 있어야 한다” 내과 의사이자 인류학 연구자 이기병의 외국인노동자전용의원 3년의 기록. 현직 내과 전문의이자 의료인류학 연구자 이기병이 외노의원에서 만났던 환자들과 씨름하며 겪었던 희로애락을 담은 책이다.
"안녕하세요, 마르탱네 사람들입니다",프랑스소설,"가족과 개인의 삶, 일상과 추억, 사랑, 거기에 글쓰기와 문학에 관한 고뇌에 이르기까지 곰곰이 생각해볼 주제들을 담고 있다. 자조 섞인 시선으로 자신의 속살과 우리의 속살을 자세히 들여다본다. 그리고 마침내 반복되는 일상을 살아가는 ‘흔한’ 우리를 그렇게 매혹시킨다."
"우리는 마약을 모른다 - 교양으로 읽는 마약 세계사, 개정증보판",교양 인문학,"저자는 마약과 관련된 팟캐스트를 제작하면서 마약에 대해 조사하게 되었고, 관련된 사람들을 인터뷰하면서 마약에 대해 새로운 시각을 가지게 되었다고 말한다. 그때 생긴 문제의식을 중심으로 엮은 것이 이 책이다."
태쁘의 세계 여행 1 : 영국 편 - 세계 역사 문화 탐험 학습 만화,문화/예술/인물,"셰익스피어 유령이 나타난다는 소문을 들은 태경과 쁘허. 오래된 책을 펼치자, 정말 셰익스피어 유령이 나타났다?! 태경과 쁘허는 깃털 펜을 찾기 위해  과거 영국으로 시간 여행을 떠나게 되는데…. 영국으로 떠난 태쁘는 과연 셰익스피어가 잃어버린 깃털 펜을 찾을 수 있을까?"
우먼 인 스펙트럼,한국소설,"안전가옥 옴니버스 픽션 시리즈 FIC-PICK의 다섯 번째 책. 주체적이고 입체적인 여성 인물과 그들이 연대하며 나아가는 이야기를 통해 기존 여성 서사의 스펙트럼을 넓힌다. 매력적인 작품으로 한국 문학계의 든든한 한 축이 되고 있는 배예람, 이수현, 아밀, 김수륜, 진산 작가가 각기 다른 여성 인물의 이야기를 각자의 스타일로 깊이 있게 그려 냈다."
챗GPT에게 묻는 인류의 미래 - 김대식 교수와 생성인공지능과의 대화,트렌드/미래전망,"2022년 말, 출시와 동시에 전 세계를 충격과 혼란에 빠뜨린 챗GPT에게 KAIST 교수이자 뇌과학자인 김대식이 도전장을 내밀었다. 인공지능, 메타버스 등 가장 첨단의 이슈에 항상 귀를 기울여오고 있었던 저자가 이번에 챗GPT에게 눈을 돌린 것은 결코 놀랄 일이 아니다. 그러나 그가 챗GPT와 나눈 열두 개의 대화는 그야말로 놀라움 그 자체다."
해적 - 유럽에서 아시아 바이킹에서 소말리아 해적까지,세계사 일반,"전 세계 해적의 역사를 통해 해적이 생기는 이유, 활동 방식을 분석하고, 그 해결책을 제시하는 책이다. 저자는 북해, 지중해, 대서양, 아시아 바다에서 활동한 해적들의 사례를 분석해 해적이 되는 근본적 이유가 빈곤임을 짚어낸다."
살아가는 책 - 책은 삶이 되고 너는 내가 된다,인문 에세이,출판과 편집에 대한 고민을 풍부한 경험으로 써 내려간 『읽는 직업』 이후 3년 만이다. 작가와 독자를 잇는 매개로서의 편집자 이야기로 많은 사랑을 받았던 저자는 『살아가는 책』에서도 중간자로서의 감각을 여실히 발휘해낸다.
헌법주의 - 1894년 이후부터 지속된 우리의 사회적 현상,법과 생활,"대한민국에 헌법이 살아있게 된 역사적 측면이 품고 있는 사회적 현상. 생태사나 산림사와 연결하여 과학기술학 연구를 해온 저자는 사회적 현상을 분석하고 과학기술학에 필요한 법제사적 기준을 마련하고자 했으며, 나아가 문화적 및 법제사적 맥락을 함께 짚어본다."
챗GPT 혁명 - 산업과 투자의 지형을 뒤흔드는 인공지능의 진화,트렌드/미래전망,"그동안 접하기 어려웠던 ‘챗GPT’의 세계로 들어서는 ‘탐험가’들의 필수 ‘맵(Map)’으로서 챗GPT를 이해하기 위한 기초 용어, 챗GPT의 역사, 다채로운 기능과 용도를 상세히 다루며 우리를 ‘신기술’이 만든 ‘신세계’로 안내한다."
성리학 펑크 2077 - 브릿G 단편 프로젝트,과학소설(SF),"조선시대를 배경으로 한 사이버 펑크에서부터, SF, 환상, 공포, 무협, 일상 등 다양한 장르와 시대를 넘나들며 기상천외한 상상력과 유머러스한 필력, 그리고 깊이있는 감동까지 담아낸 브릿G의 최신 단편 앤솔러지 『성리학 펑크 2077』이 황금가지 출판사에서 출간되었다."
김호연의 작업실 - 김호연의 사적인 소설 작업 일지,한국에세이,"밀리언셀러 &lt;불편한 편의점&gt;의 김호연 작가의 에세이. ‘김호연의 사적인 소설 작업 일지’라는 부제처럼 작가 자신이 처음 소설을 쓰기 위해 작업실을 구한 일화부터, 글쓰기의 해답을 찾기 위해 고군분투한 창작기, 거기에 더해 이 시대 소설에 대한 작가만의 생각과 소설 쓰기에 대한 디테일한 지점들을 망라했다."
김호연의 작업실 (친필 사인본) - 김호연의 사적인 소설 작업 일지,한국에세이,"밀리언셀러 &lt;불편한 편의점&gt;의 김호연 작가의 에세이. ‘김호연의 사적인 소설 작업 일지’라는 부제처럼 작가 자신이 처음 소설을 쓰기 위해 작업실을 구한 일화부터, 글쓰기의 해답을 찾기 위해 고군분투한 창작기, 거기에 더해 이 시대 소설에 대한 작가만의 생각과 소설 쓰기에 대한 디테일한 지점들을 망라했다."
악인론 - 닥치고 성공해 누구에게도 지배받지 않는 삶,성공,"‘착한 사람 콤플렉스’에 중독되어 하루하루를 그저 감사하기만 하며 살던 한 남자가 감사일기가 아닌 분노일기를 적기 시작하며 변화된 삶을 담은 책이다. 그가 분노일기를 적으며 찾은 답은, 위로와 긍정이 아닌 오직 성공하고자 하는 내면의 욕망에 귀를 기울이는 삶의 태도였다."
2023 주식 변곡점의 기회를 잡아라 - 대박 종목 잡는 실전 투자 전략,재테크/투자,2년 동안 큰 폭의 하락장을 경험하다 보니 주식을 매수하는 일이 쉽지 않지만 그만큼 좋은 기업을 저렴하게 매수할 수 있는 기회의 장임은 분명하다. 그 기회를 잡기 위해 매일경제TV 대표 프로그램 &lt;생생한 주식쇼 생쇼&gt; 6명의 전문가들이 사명감으로 뭉쳤다.
생각하면서 걸어가기 - 생활철학의 발견,철학 일반,"어떻게 하면 섬세한 포용력을 가지고 인간관계를 유지할 수 있을지, 세상을 잘 살아나가는 데 필요한 마음가짐을 생활철학적으로 고찰하고 있다. 일상생활에서 맞닥뜨리는 다양한 상황을 현명하게 대처해 몸과 마음이 건강한 사람으로 거듭날 수 있는 해법을 제시한다."
노벨문학상 필독서 30 - 조지 버나드 쇼부터 아니 에르노까지 세기의 소설 30권을 한 권에,교양 인문학,노벨문학상 수상작가 30명의 대표작을 한 권에 담은 책이 출간됐다. 1909년 수상자 셀마 라겔뢰프부터 2022년 수상자 아니 에르노까지 역대 119명의 노벨문학상 수상 작가 중 30인의 대표작을 엄선해 소개한 책이다.
이어령의 마지막 수업 (특별판) - 시대의 지성 이어령 1주기 추모 특별판,교양 인문학,이어령 선생님의 1주기를 맞아 선생님을 그리워하고 추모하는 마음을 담아 출간되는 『이어령의 마지막 수업』 특별판은 마지막까지 어지러운 세상에 두고 가는 제자들 생각뿐이었던 스승의 따뜻한 마음을 다시 한번 느껴볼 수 있는 선물 같은 책이 되어줄 것이다.
사마천 평전,중국사,중국 역사의 아버지 사마천은 이미 중국을 뛰어넘어 세계적인 사학자로 추앙받고 있다. 그러나 &lt;사기&gt;의 지명도에 비하면 그에 대한 구체적인 내용은 의외로 알려진 것이 거의 없다. 저자 장다커는 기존의 자료를 섭렵하고 분석하여 접근 가능한 모든 방면에서 사마천의 행적을 심도 있게 파헤쳐 사마천과 그가 남긴 불후의 명작 &lt;사기&gt;에 대한 이해도를 높여준다.
양들의 침묵 (리커버 에디션),액션/스릴러소설,"《양들의 침묵》을 아는가? 아마 전 세계인의 절반은 책으로, 나머지 절반은 영화로 이 제목을 접했을 것이다. 이 책의 주인공 ‘한니발 렉터’는 희대의 식인 살인마 캐릭터로 독자들의 뇌리에 지워지지 않는 강렬한 인상을 남기며 토머스 해리스를 세계 최고 작가 반열에 올려놨다."
위대한 경제학 고전 30권을 1권으로 읽는 책,경제학/경제일반,"애덤 스미스의 《국부론》부터 리처드 탈러·캐스 선스타인의 《넛지》까지 경제학 고전 30권을 쉽지만 깊이 있게 소개한다. 최소한의 경제 개념 정도는 알고 싶은 직장인, 경제학 수업에 두고두고 참고할 책을 찾는 학생들, 또 경제학적 사고의 틀이 궁금한 교양인 모두에게 최고의 교재가 되어줄 것이다."
김밀란 리조또 - 이탈리아에서 요리하는 셰프의 정통 리조또 바이블,나라별 요리,이탈리아 밀라노에서 미슐랭 2 스타 레스토랑의 셰프로 활동하며 현지인들의 입맛까지 사로잡은 김밀란 셰프가 이번에는 진짜 정통 이탈리아 리조또의 맛을 알리기 위해 돌아왔다. 여태 한 번도 제대로 소개되지 않았던 리조또에 대한 A to Z를 알려주는 리조또 바이블이다.
백점 백곰,동화/명작/고전,"《겁보 만보》와 《무적 말숙》으로 교사와 어린이들에게 꾸준히 사랑받아 온 김유 작가의 작품이다. ‘겁보 만보’와 함께 용기를 배우고, ‘무적 말숙’과 함께 나눔을 배웠다면, 이번에는 ‘백점 고미’와 함께 큰 사람이 되는 법을 배워 보자."
"서울 골목길 비밀정원 - 동네 동산바치들이 만든 소박한 정원 이야기, 개정판",인문 에세이,오랜 시간 ‘사라져 가는’ 서울을 글과 사진으로 기록해 온 건축·조경 전문가가 서울의 골목길에서 찾아낸 숨은 보석 같은 비밀정원 이야기를 담은 책이다.
환상서점 - 잠 못 이루는 밤 되시길 바랍니다,판타지/환상문학,"출간과 동시에 &lt;하얼빈&gt;, &lt;불편한 편의점&gt; 등 서점 베스트셀러 강자들을 제치고 단번에 밀리의 서재 종합 베스트셀러 1위에 오르며 화제의 중심에 선 &lt;환상서점&gt;. 오디오북 &lt;환상서점&gt;을 원작으로 하여, 서점주인이 들려주던 기묘한 이야기에서 세계관을 넓고 깊게 확장시켜, 서점주인과 손님 사이에서 피어나는 감정들을 촘촘하게 엮어 독자에게 새로운 경험을 선사한다."
오색 찬란 실패담 - 만사에 고장이 잦은 뚝딱이의 정신 수양록,한국에세이,"여기, 자신의 불행과 실수를 위안 삼아 당신의 실패를 껴안으라고 말하는 넉살 좋은 작가가 있다. &lt;젊은 ADHD의 슬픔&gt;으로 칙칙한 과거의 기억을 전무후무한 솔직함과 발랄함으로 재창조해 낸, 정지음 작가다. 이 책은 당신이 겪은 실패의 퍼스널 컬러를 단번에 찾아줄 한 권의 스펙트럼이다."
내일은 발명왕 38 - 음식과 발명,과학/수학/컴퓨터,"&lt;내일은 발명왕&gt; 38권 ‘음식과 발명’ 편에서는 분자 요리, 냉장고, 레토르트 식품 등의 발명품을 통해 자연스럽게 과학 이론을 접하고, 음식과 요리에 관련된 각종 발명품과 작동 원리에 대해 알 수 있도록 구성하였다."
웃소 6,TV/만화/영화,"인기 크리에이터 웃소의 다양한 영상 콘텐츠를 바탕으로 만든 코믹북이다. 어린이들의 큰 사랑을 받고 있는 ‘유형별 공감’ 콘텐츠부터 요리 콘텐츠 ‘쿡소’, 각종 미션을 수행하는 ‘하찮은 대회’ 등 웃소의 재치 있는 콘텐츠를 한곳에 다 모아 두었다."
1초 : 지금 이 순간 무슨 일이?,과학/수학/컴퓨터,1초 동안에는 무슨 일이 일어날까? 이 책은 여러 다양한 지식을 담은 책이기도 하지만 감각적이고 아름다운 그림을 담은 책이기도 하다. 강렬하게 대비되는 화려한 색상으로 단순하게 표현한 그림들은 각 지식들을 더욱 돋보이게 한다.
정보의 지배 - 디지털화와 민주주의의 위기,철학 일반,"디지털화는 어떻게 민주주의를 위협하는가? 현상과 언어에 대한 세밀한 관찰로 그려낸 정보사회의 초상. 오늘날 민주주의가 처한 위기를 서술한 이 책에서, 한병철은 그 위기를 공론장의 디지털 구조변동에서 찾는다."
"후천적 공부머리 성장법 - 아이의 기질, 지능, 습관을 알면 공부의 판도가 바뀐다",교육/학습,"아이의 공부를 생각하면 마음이 불안해지는 부모들을 위한 자녀교육서이다. 아이의 유형에 따른 ‘아이 맞춤형’ 학습법, 대화법, 놀이법을 담았다. 아이의 기질, 지능을 알면 적절한 학습 속도와 난도를 정할 수 있고, 습관 형성 과정을 이해하면 아이가 올바른 습관을 만들고 조절력을 키우는 데 도움을 줄 수 있다."
열세 살 우리는,동화/명작/고전,"&lt;훌훌&gt;, &lt;우리들이 개를 지키려는 이유&gt;, 「우투리 하나린」 등 어린 십 대들의 내면을 선명하고 섬세하게 그려온 문경민 작가가 열세 살의 시간에만 가능한 이야기, 책을 펼치면 단숨에 엔딩까지 읽게 되는 몰입감 넘치는 이야기로 돌아왔다."
세계철학사 세트 - 전5권,철학 일반,"이미 소개된 바 있는 &lt;철학사전&gt;과 같은 맥락에서 저술된 세계철학사이다. 유럽을 기점으로 하여 인도, 중국, 한국은 물론 아메리카 철학까지 폭넓게 저술했다. 러시아연방 사회과학 연구소에서 30여년의 연구를 걸쳐 완성해 방대한 세계철학을 일목요연하게 실천적 입장에서 기술했다."
다이다이 서점에서,외국에세이,"“묘한 책”과 “약한 자들의 책”만 파는 일본의 작은 서점 ‘다이다이’의 서점지기 다지리 히사코의 에세이가 처음으로 한국 독자들을 찾아왔다. 서점지기 다지리 히사코가 다이다이 서점을 오가는 손님들과 책, 서점의 일상에 대해 쓴 에세이로 2020년 구마모토 출판문화상 수상작이기도 하다."
N,추리/미스터리소설,"여섯 개의 장으로 이루어진 장편소설이지만, 1장부터 시작해 차례대로 이야기가 진행되다가 6장에서 끝나는 평범한 구성이 아니다. 어느 장부터 읽기 시작할지, 다음은 어느 장으로 넘어갈지, 어느 장으로 끝마칠지 독자가 스스로 선택할 수 있기 때문에, 읽는 순서에 따라 색깔이 달라진다."
그 소문 들었어? (그림책 특별판),그림책,"“그 소문 들었어? 은색 사자가 말이야….” 욕심 많은 금색 사자가 착한 은색 사자를 누르고 왕이 되기 위해 거짓 소문을 낸다. 동물들은 생각도 않고 금색 사자의 말을 이쪽저쪽 옮긴다. 그렇게 은색 사자는 누명을 쓰고, 나라는 망할 위기에 처하게 되는데…."
세계를 이끈 경제사상 강의 - 경제학의 탄생 기원과 22개 학파로 보는 300년 경제학사 통찰,경제학/경제일반,"유튜브 채널 &lt;정윤희의 책문화TV&gt;에서 20회에 걸쳐 방송했던 시리즈 ‘민주쌤의 신나는 경제학수업’이 책으로 출간됐다.  《세계를 이끈 경제사상 강의》는 방송에서 소개한 경제사상뿐만 아니라 경제학, 사회학, 정치학, 철학, 역사학 등 인접 학문을 넘나들면서 폭넓고 깊이 있는 경제사상을 집대성했다."
다케토리 이야기 - 400년 전통 명화와 함께 읽는,일본소설,"일본 최초의 소설이자, 판타지의 시조라고 불리며 스튜디오 지브리 영화 &lt;가구야 공주 이야기&gt;의 원작이다. 일본 릿쿄대학 도서관 소장품인 17세기 일본의 두루마리 그림책 《다케토리 이야기 에마키》의 도판을 수록해 원작의 신비로운 분위기를 생생하게 전달한다."
도리도리 - 박순찬의 장도리 카툰집,정치학/외교학/행정학,지난 일 년을 역사는 어떻게 기억하게 될지 ‘박순찬’이라는 사관의 눈으로 기록한 책이다. 이 책에는 신문사 만평 화백을 그만둔 후 꾸준히 그려온 약 150여 개의 그림이 수록됐다.
데이비드 호킨스의 365일 명상,심리학/정신분석학,세계적인 영적 지도자 데이비드 호킨스 박사의 가르침을 담은 명상 잠언집. 25개국 100만 부 이상 판매된 『의식 혁명』 『놓아 버림』 등 기존 10여 권의 저서에서 366개(윤일 포함) 구절을 엄선하여 하루에 하나씩 읽어 나갈 수 있게 구성된 책이다.
뇌 속 코끼리 - 우리가 스스로를 속이는 이유,심리학/정신분석학,"우리는 더없이 이기적으로 이타적이다! 지구에서 가장 사랑스러운 사기꾼, 사피엔스 이야기. 선택의 이유가 분명해 보이는 결정에서조차 불순한 의도가 숨어든다는 것을 인정하고 그것을 제대로 마주하면, 우리가 원하는 바람직한 결과를 도출하는 데 큰 도움이 될 것이다."
실버뷰,액션/스릴러소설,"지난 60여 년간 전 세계 문단과 독자들의 열렬한 지지를 받아온 작가, 존 르 카레의 유작 《실버뷰》가 출간된다. 결국 세상에 내놓지 못한 채 미완으로 남아있던 원고를, 아들이자 소설가인 닉 콘웰이 마무리해 발표한 공식적으로 존 르 카레의 스물여섯 번째 장편소설이다."
나를 다 안다는 착각 - 무의식은 어떻게 나를 뒤흔드는가,심리학/정신분석학,"신경증적 경향의 패턴과 어떤 사람이 자신의 심리적 문제를 혼자 해결하려고 할 때(자기 분석) 정신분석 기법을 얼마나 활용할 수 있을지 사례를 통해 가능성을 알아보고, 정신분석의 기본 단계를 살펴본다."
"모두가 늙었지만 아무도 죽지 않는다 - 초고령화 시대, 웰다잉을 위한 죽음 수업",교양 인문학,"의학의 눈부신 발전으로 도래한 초고령화 사회, 인간에게 주어진 기나긴 시간은 과연 축복일까 저주일까? 일본의 의학자인 저자는 『모두가 늙었지만 아무도 죽지 않는다』에서 ‘미래의료학’의 관점으로 현대 사회의 고령화 문제를 진단한다."
"날마다, 기타 - 딩가딩가 기타 치며 인생을 건너는 법",한국에세이,"평생 딩가딩가 기타를 치며 노래를 부르고 춤추고 살고 싶었지만, 세상에 부딪히며 음악에 대한 열정을 의도적으로 누수시키며 궤도를 조금 수정한 싱어송라이터이자 기타 선생 김철연의 에세이이다. 가수와 기타 레슨을 업으로 삼으면서 느껴왔던 현실과 그 과정에서 만난 소소한 우정과 사랑 이야기를 담았다."
"아들은 아버지의 등을 보고 자란다 - 이 시대의 남편, 아들, 아버지를 위한 자기회복 심리학",심리학/정신분석학,가족심리치유 전문가 최광현 교수가 아들이자 아버지인 자신의 경험과 수많은 남성 상담자들의 사례를 녹여 대한민국 아버지들의 심리를 깊숙이 살펴본 책이다.
그리스 로마 신화 32 : 운명을 바꾼 야누스의 문,사회/역사/철학,"그리스 로마 신화의 이야기를 재미있는 만화로 풀어내고 신화 속 지식을 쉽게 구성한 책이다. 그리스 로마 신화는 서양의 문화를 이해하는 원천이고, 신과 영웅들의 다양한 모습을 통해 삶의 지혜를 배울 수 있는 인류 최고의 고전이다."
"하루 한 장, 인생 그림 - 아트메신저 이소영이 전하는 명화의 세계",미술,"바쁜 우리에게 하루도 빠짐없이 한두 점 미술 작품을 소개해온 아트메신저 이소영 작가가 이번에는 『하루 한 장, 인생 그림』으로 자신의 하루를 완성하는 ‘인생 그림’과 ‘인생 화가’에 대한 이야기를 전한다."
성자유 성혁명 성정치 세트 - 전3권,문화/문화이론,"빌헬름 라이히의 주요 논물을 엮은 《성정치》, 복종하지 않고 건강한 자율적 주제를 만들어내고자 했던 《성혁명》, 예속위협에 대해서 정연하고 우정 있고 이타적인 개인주의는 필수불가결한 해독제를 제공한 《성자유》를 만나볼 수 있다."
미래를 읽다 과학이슈 11 Season 13,청소년 수학/과학,"언론 매체나 포털 사이트 상위 검색어를 차지하는 첨예한 과학이슈들이 매일같이 쏟아져 나오는 현재, 과학기술의 성과와 중요성을 알리는 데 앞장서고 있는 전문가들의 명쾌한 해설을 한 권에 담은 책이다."
