prodName,category,description
「2021 안전산업 발전 유공」표창 공고,안전정책과,null
2021 해외 지재권보호 지원사업,미래성장과,null
2021학년도  사회적경제？IT학과 신입생 자율모집 요강 안내,사회적경제과,null
'21년 제1회 재난안전제품 인증 신청서 접수 안내,안전정책과,null
충남국제전시컨벤션센터 건립공사 설계공모 심사결과 공개,공공건축과,null
2021년 IP(지식재산) 나래 지원사업 공고,미래성장과,null
2021년 중소기업 IP(지식재산) 바로지원 사업 공고,미래성장과,null
2021년 국제 지재권분쟁 대응전략 및 공동대응 지원사업 외부 전문가 모집공고(한국지식재산보호원),미래성장과,null
2021년 설 연휴 문여는 의료기관 현황,보건정책과,null
충남육아종합지원센터 건립공사 건축 및 실내인테리어 설계 제안공모 심사결과,공공건축과,null
설 명절 연휴기간 수소충전소(3개소) 상시운영 안내,에너지과,null
사회적경제기업 전문 인력양성을 위한 사회적경제IT학과(계약학과) 추가 학생모집 안내,사회적경제과,null
충남지식재산센터 온라인 사업설명회 개최(02.16[화]),미래성장과,null
본인서명사실확인서 발급 안내,자치행정과,null
(파주시) 게임제공업 행정처분(직권말소)공고,문화정책과,null
(파주시) 비디오물시청제공업 행정처분(직권말소) 공고,문화정책과,null
충남국제전시컨벤션센터 건립공사 설계공모 2단계 심사위원 명단 변경 알림,공공건축과,null
2021년 “글로벌 IP스타기업 육성사업” 지원 기업 모집  공고,미래성장과,null
"2021년 나라사랑 그림그리기, 글짓기 대회 개최",사회복지과,null
수산종자연구센터 건립공사 설계공모 심사결과,공공건축과,null
도시가스요금 3차 납부유예 신청 안내,에너지과,null
(부여군) 2021년 상반기 외국인 계절근로자 도입 내국인 구인 공고,식량원예과,null
2021년 충청남도 자살예방시행계획,건강증진식품과,null
충남국제전시컨벤션센터 건립공사 2단계 설계공모 질의답변 알림,공공건축과,null
충남육아종합지원센터 건립사업 건축 및 실내인테리어 설계공모 질의답변서,공공건축과,null
일회용품 없는 충남 만들기 유튜브 채널 '환경튜브' 신설,기후환경정책과,null
대천항 관공선 통합사무실 건립공사 건축설계 제안공모 심사결과,공공건축과,null
(청양군) 2021년 상반기 외국인 계절근로자 내국인 구인 공고,식량원예과,null
(논산시) 2021년 상반기 외국인 계절근로자 내국인 인력모집,식량원예과,null
2021년도 상반기 정기인사 인사발령 안내,인사과,null
충남국제전시컨벤션센터 건립공사 설계공모 1단계 심사결과 알림,공공건축과,null
사회적경제기업 전문 인력양성을 위한 사회적경제IT학과(계약학과) 추가 학생모집 안내,사회적경제과,null
2021년 충남도청 민원실 자원봉사자 모집,자치행정과,null
수산종자연구센터 건립공사 설계용역 질의답변서,공공건축과,null
충남도청 '작은미술관 아트♡마켓 전시회' 개최 안내,문화정책과,null
진실화해를 위한 과거사정리 기본법에 의한 진실규명 신청 안내,자치행정과,null
2020 데이터 그랜드 컨퍼런스 행사 안내,정보화담당관,null
대천항 관공선 통합사무실 건립공사 설계공모 질의답변서,공공건축과,null
제31회 공인중개사 자격시험 합격 발표에 따른 자격증 교부 안내,토지관리과,null
충남국제전시컨벤션센터 건립공사 설계공모 질의답변서,공공건축과,null
2020년 4분기 「찾아가는 운전면허시험장」 미운영 안내,자치행정과,null
수요일 야간 여권 민원창구 운영 재개 알림('20. 11.4.(수)~ / 매주 수요일 18:00~20:00),자치행정과,null
충남 소프트웨어(SW) 미래채움 사업《찾아가는 SW교육》신청기관 모집 안내,미래성장과,null
2020년 충청남도 우수 지식재산 경영인 공모 안내,미래성장과,null
"(10/27, 화, 14시) 충남 6차 산업 BIO식품 분야 지식재산 온라인 네트워크 개최 안내",미래성장과,null
「아이스팩 재사용 활성화를 표준디자인 공모」 대국민 투표 안내,기후환경정책과,null
「한국유교문화진흥원 재단법인 설립」도민 공청회 개최 안내,문화유산과,null
"(10/29, 목) 제6회 환황해포럼 / 온오프라인 동시개최",균형발전담당관,null
10/7(수) 지역인재채용 설명회(온라인) 오픈!,균형발전담당관,null
한글날 연휴기간 주민등록 민원서비스 중단 안내,자치행정과,null
사회적경제기업 전문 인력양성을 위한 사회적경제IT학과(계약학과) 학생모집 안내,사회적경제과,null
전국 희망나눔 챌린지 안내,여성가족정책관,null
2020년 공공 빅데이터 분석 공모전 안내,정보화담당관,null
충청남도 디지털 역량강화 교육사업 교육생 모집 안내,정보화담당관,null
온라인 성묘·차례지내기 인증샷 이벤트 안내,자치행정과,null
도시가스요금 납부유예(2차) 신청 안내,에너지과,null
추석 연휴 기간 중 주민등록시스템 서비스 중단 안내,자치행정과,null
추석 연휴기간 내포 수소충전소 운영안내,에너지과,null
제1회 충남독서대전 (무관중 온라인 개막방송) 안내,충남도서관,null
문서24를 통한 정보통신공사업 감리원 배치현황 신고 방법,정보화담당관,null
위해 축산물 긴급 회수문,동물방역위생과,null
2020 자랑스러운 충남인상 후보자 공적 공개,자치행정과,null
★ 제5회 충청남도 인권작품 공모전 연장 안내 (UCC부문),자치행정과,null
충남도민 결혼식장 소비자피해 중재신청 안내,경제정책과,null
2020년 8월 26일(수) ~ 28일(금) 비상진료기관 목록 안내,보건정책과,null
2020년 국내 단체관광객 유치 인센티브 지원 일시중단 안내,관광진흥과,null
2020년 3분기 「찾아가는 운전면허시험장」 잠정 연기 안내,자치행정과,null
제4차 충청남도 종합계획 공청회자료(시군포함),균형발전담당관,null
제4차 충청남도종합계획(안) 공청회 자료 공개,균형발전담당관,null
「충남형 더 행복한 주택」도민 모니터단 모집공고,건축도시과,null
2020년 8월 14일(금) 비상진료기관 목록 안내,보건정책과,null
2020년 사회적경제 혁신성장사업(비R&D) 지원사업 및 사업설명회 개최 안내,사회적경제과,null
★ 제5회 충청남도 인권작품 공모전 안내,자치행정과,null
2020년 충남녹색환경지원센터 연구사업 과제 제안서 공모 안내,환경안전관리과,null
"디지털 역량강화 교육사업 교육생, 강사·서포터즈 모집",정보화담당관,null
「충남형 더 행복한 주택」 매입형 시범사업 입주자 모집 공고 안내,건축도시과,null
농촌관광 할인 지원사업 안내,농촌활력과,null
제8회 충청남도 공공데이터 활용 창업경진대회 2차 결선 평가 결과 공고,정보화담당관,null
충남 소프트웨어(SW) 미래채움 SW강사 양성 과정 2차 모집 안내,미래성장과,null
'2020 샤이니스타를 찾아라' 온라인 충남지역 오디션 모집 공고,문화정책과,null
내포 온도락 힐링 아카데미(신창호 : 동양철학에서 배우는 우리 교육의 미래),충남도서관,null
2020년도 정보통신보조기기 보급대상자 안내,정보화담당관,null
대천항 돌제물양장 신설 및 확장공사 건설사업관리용역 사업수행능력평가(면접) 결과,해운항만과,null
제8회 충청남도 공공데이터 활용 창업경진대회 예선평가 결과 공고,정보화담당관,null
2020 자치분권 사진＆영상 공모전 안내,자치행정과,null
아이스 팩 재사용 활성화를 위한 표준디자인 공모,기후환경정책과,null
위해축산물 긴급회수문,동물방역위생과,null
충남의 노래 전국공모전 안내,자치행정과,null
2020년('19년 실적) 위임사무 등에 대한 시군평가 결과 안내,정책기획관,null
2020년도 하반기 공무원 정기인사 인사발령 사항 안내,인사과,null
축산물가공업(식육가공업) 행정처분(허가취소) 사전통지 공시송달 공고,동물방역위생과,None
국도1호선 양정과선교 교면포장공사에 따른 우회도로 안내(논산국토관리사무소 시행),도로철도항공과,null
위해축산물 긴급회수문,동물방역위생과,null
"“글로벌 바이러스 대응, 우리 함께해요” 단편 동영상 공모(중국인민대외우호협회)",국제통상과,null
'일회용품 없는 지속가능한 축제' 환경혁신 아카데미 영상,기후환경정책과,null
2020년 제44회 청백봉사상 후보자 추천 안내,인사과,null
내포 온도락 힐링 아카데미(에드워드 권 : 요리에서 인생을 배운다),충남도서관,null
2020년 전국사업체조사 실시(6.4.~6.29.),정보화담당관,null
2020년 2분기 「찾아가는 운전면허시험장」 운영 안내,자치행정과,null
위해 축산물 긴급 회수문,동물방역위생과,null
"장애인, 국가유공자 및 유족 대상 시내.농어촌버스 무료.할인 안내(교통카드 신청)",교통정책과,null
(금산) 2020년 하반기 외국인 계절근로자 내국인 인력모집,식량원예과,null
소금산업 진흥법 위반 관련 신고포상금 제도 안내,어촌산업과,null
2020년 소규모 공공시설(위험시설) 점검결과 알림,하천과,null
(논산) 2020년 하반기 외국인 계절근로자 내국인 인력모집,식량원예과,null
"충남 도립미술관 건립관련, 21세기형‘참여미술관’정체성 마련위한 공개토론회(포럼)",문화정책과,null
2020년 하반기 외국인 계절근로자 관련 내국인 구인(태안군),식량원예과,null
내포 온도락 힐링 아카데미(권기봉 : 역사 익숙한 것을 새롭게 보는 법),충남도서관,null
충청권 공공기관 지역인재채용 광역화(5월 27일부터),균형발전담당관,null
군사망사고진상규명위원회 진정 접수 안내,자치행정과,null
코로나19 생활 속 거리두기,공보관,null
2020년 내포 온도락 힐링 아카데미 안내,충남도서관,null
"제50회 지구의 날 기념, 소등행사(4.22. 수요일, 20:00~20:10 / 10분간)",기후환경정책과,null
위해축산물 긴급회수문,동물방역위생과,null
대기관리권역내 대기오염물질 총량관리 신고 대상 및 신고 절차 알림,미세먼지대책과,null
위해축산물 긴급회수문,동물방역위생과,null
위해축산물 긴급회수문,동물방역위생과,null
제8회 충남 공공데이터 활용 창업경진대회 알림,정보화담당관,null
「제52주년 예비군의 날」기념 대통령 축하메시지 알림,안전정책과,null
코로나19 예방을 위한 콜센터 대응 지침(2판),일자리노동정책과,null
코로나19 예방을 위한 사회적 거리두기 지침(사업장용),일자리노동정책과,null
코로나19 강도 높은 ´사회적 거리두기´ 국민 행동 지침,공보관,null
"코로나19 관련 노동관계법 주요 Q&A(휴업,휴직, 휴가,재택근무 등)",일자리노동정책과,null
코로나19 예방을 위한 사업장 집중관리지침 등 3건,일자리노동정책과,null
「2020년 충남 생활소비재산업 얼라이언스 운영」사업 수행기관 모집 안내,미래성장과,null
2020년 IP(지식재산) 나래프로그램 사업 참여기업 모집 안내(기간 연장),미래성장과,null
고용장려금 지원제도 및 '코로나19' 대응 시책 알림,일자리노동정책과,null
코로나바이러스감염증-19 Q&A 공유,보건정책과,null
마스크 사용 개정 권고사항 알림(비상상황 한시적),보건정책과,null
2020년 1분기 「찾아가는 운전면허시험장」 잠정 연기 안내,자치행정과,null
충청남도「수요 야간 여권민원 창구」잠정 중단 안내,자치행정과,null
2020년 산불방지 교육훈련 민간위탁 협약서,산림자원과,null
2020년 중소기업 IP(지식재산권) 바로지원 사업 참여기업 모집 안내,미래성장과,null
2020년 일본 수출규제 피해 충남 중소기업 대상 홈쇼핑(TV홈쇼핑 및 T커머스) 입점지원사업 참여업체 모집 재공고,소상공기업과,null
신종 코로나바이러스 감염증 선별진료소 현황 안내,보건정책과,null
「2020년 충청남도 인권보호 및 증진활동 지원사업」보조사업자 선정 공모,자치행정과,null
「2020년 충청남도 민주화운동 기념사업」보조사업자 선정을 위한 공모,자치행정과,null
제3기 충청남도 도민인권지킴이단 공개모집 공고,자치행정과,null
일본 수출규제 대응을 위한 해외 지사화사업 참가기업 추가모집 공고,소상공기업과,null
주민참여 혁신모델 공모사업 공고 알림,자치행정과,null
신종 코로나바이러스감염증 예방수칙,보건정책과,null
2020년 봄철 산불조심기간 공고 알림,산림자원과,null
충청남도 노사민정협의회 사무국장 채용 재공고,일자리노동정책과,null
설연휴 도내 응급의료기관 및 알아두면 유익한 긴급 전화번호,자치행정과,null
충남 소상공인 사회보험료 4분기 지원사업 공고,소상공기업과,null
2020년도 상반기 5급이하 공무원 정기인사 발령사항 안내,인사과,null
2020년 충남지식재산센터 지원사업 시행계획 공고,미래성장과,null
「(가칭) 3·1운동 충남 백년의 집」건립 아이디어 공모전(참가신청 접수안내),문화정책과,null
설 명절기간 내포 수소충전소 운영계획,에너지과,null
제6회 대한민국 공무원상 심의 후보자 공개검증,인사과,null
2020년 창업성공패키지(청년창업사관학교 입교생) 모집공고,소상공기업과,null
2020년 청소년육성 및 보호 유공 포상 후보자 추천 및 홍보 안내,여성가족정책관,null
충청남도 노사민정협의회 사무국장 채용 공고,일자리노동정책과,null
자율점검업소의 자율점검결과 보고 제출,환경안전관리과,null
산업안전보건법 개정시행(20.1.16.) 알림,일자리노동정책과,null
가정용 달걀 선별포장 유통제도,동물방역위생과,null
2020년 외국인 계절근로자 관련 내국인 구인(청양군),식량원예과,null
2020년 (재)충청남도경제진흥원 제1차 직원 공개채용,소상공기업과,null
올바른 민원문화 만들기에 동참해 주세요.,자치행정과,null
2020년 조직개편 기구표,자치행정과,null
2020년 외국인 계절근로자 관련 내국인 구인(부여군),식량원예과,null
2020년도 상반기 4급이상 공무원 정기인사 인사발령 안내,인사과,null
국가균형발전을 위한 대국민 아이디어 챌린지,균형발전담당관,null
2020년 외국인 계절근로자 관련 내국인 구인(논산시),식량원예과,null
이호선 교수 : 가족의 소통을 위한 3가지 기술(내포 온도락 힐링 아카데미),충남도서관,null
2020 충남 지역문화예술교육지원사업 사업설명회 개최 안내,문화정책과,null
일본 수출규제 대응을 위한 해외 지사화사업 참가기업 모집 공고,소상공기업과,null
공공데이터 이용 활성화 퀴즈 이벤트 당첨자 발표,정보화담당관,null
충남국악관현악단 국악콘서트 안내,충남도서관,null
공공데이터 퀴즈 풀고 모바일 상품권의 주인공이 되어보아요!,정보화담당관,null
2019년 충청남도 청렴도 측정 결과 공개,감사과,null
2019년 충남 도정을 빛낸 사업 선정을 위한 설문,정책기획관,null
2020년 충청남도 안전관리계획 수립에 따른 의견 수렴,안전정책과,null
송년의 달 가족행사 「크리스마스 연극 호두까기 인형」,충남도서관,null
양보석 대표 : 인생의 행복을 그리는 자산관리(내포 온도락 힐링 아카데미),충남도서관,null
12월 송년의 밤 시낭송콘서트 연기 안내,충남도서관,null
2019 자랑스러운 충남인상 후보자 공적 공개,자치행정과,null
2020년도 지역개발채권 상환공고,예산담당관,null
제4차 충청남도종합계획 수립을 위한 도민참여단 모집 안내,균형발전담당관,null
제30회 공인중개사 자격시험 합격 발표에 따른 자격증 교부,토지관리과,null
안전점검 필요분야 설문조사,사회재난과,null
2020년 굴뚝 TMS 설치 및 유지관리비 지원사업비 수요조사,환경보전과,null
행복키움수당(구.충남아기수당) 지원 안내,출산보육정책과,null
충청남도 지방건설기술심의위원회 위원 공개 모집,건설정책과,null
충청권 균형발전 정보협력 포럼 개최 알림,균형발전담당관,null
박영숙 대표 : 미래 부상산업과 메가트렌드(내포 온도락 힐링 아카데미),충남도서관,null
스마트 도로유지관리 시스템 구축·운영 민간위탁 수탁기관선정심사위원회 심사결과(정성적평가) 공개,도로철도항공과,null
2019년 클린공무원 선발 도민 추천 안내,감사과,null
LH대전충남 청년.신혼부부 매입임대리츠주택 입주자 모집공고 안내,건축도시과,null
2019년 소풍(소통의 바람) 프로젝트 동요대회 개최,출산보육정책과,null
한-아세안 공공행정 혁신전시회 안내,정책기획관,null
위해 축산물 긴급 회수문,동물방역위생과,null
2019년 대한민국 공무원상 국민추천 안내,인사과,null
성석제 소설가 : 지치지 않고 글을 쓴다는 것(내포 온도락 힐링 아카데미),충남도서관,null
축산물위생관리법 위반업소 허가취소 공시송달 공고,동물방역위생과,None
위해 축산물 긴급 회수문,동물방역위생과,null
"공공데이터 이용자만족도 조사 참여하고, 모바일 상품권의 주인공이 되어보아요~~!!",정보화담당관,null
위해 축산물 긴급 회수문,동물방역위생과,null
위해 축산물 긴급 회수문,동물방역위생과,null
2019 지역으로 찾아가는 공예컨설팅 개최,문화정책과,null
Invite you to the '2019 International Conference on Coal Phase-out & Climate Action' and 'Declaration of Climate Emergency',기후환경정책과,null
강신주 작가 : 삶의 주인으로 사는 방법(내포 온도락 힐링 아카데미),충남도서관,null
위해 축산물 긴급 회수문,동물방역위생과,null
「2019 탈석탄 기후변화 대응 국제 컨퍼런스」에 여러분을 초대합니다.,기후환경정책과,null
위해 축산물 긴급 회수문,동물방역위생과,null
2019년 충청남도 유망 중소기업 선정 결과,소상공기업과,null
창작 뮤지컬 청사초롱 안내(10월 문화의 달 행사),충남도서관,null
충남 소상공인 사회보험료 지원사업 3분기 지원 공고,소상공기업과,null
김민식 PD : 매일 아침 쓰는 글쓰기(내포 온도락 힐링 아카데미),충남도서관,null
2019년 제5차 충청남도경제진흥원 직원채용 공고,소상공기업과,null
안전한 개인정보보호 체험사례 공모전,정보화담당관,null
제5회 환황해포럼 개최 (10. 31. ~ 11. 1. / 롯데리조트부여),균형발전담당관,null
충남도서관 하반기 문사철 교실(생활법률) 안내,충남도서관,null
가을밤의 아름다운 선율 [중국 헤이룽장성 가무극장 민족악단] 공연 안내,국제통상과,null
충청남도 공공저작물 관리 지침 제정 예정(안) 도민 의견 조회(2019. 9.25. ~ 10. 9.),문화정책과,null
국회위원 요구자료 제출 요청(대기 TMS 관련 자료),환경보전과,null
2019년 지역SW산업발전 유공자 포상 및 공모전 안내,미래성장과,null
제412차 민방위의 날(9.25) 전국 화재대피훈련 실시,안전정책과,null
노후 석탄화력발전소 조기폐쇄를 위한 국회토론회,에너지과,null
